TIME     EVENT COMM             PID     PPID    FILENAME/EXIT CODE
23:06:33 EXIT  docker           33682   580     [0]
23:06:33 EXEC  iptables         33694   1120    /usr/sbin/iptables
23:06:33 EXEC  sh               33695   1823    /bin/sh
23:06:33 EXEC  which            33696   33695   /usr/bin/which
23:06:33 EXIT  iptables         33694   1120    [0] (22ms)
23:06:33 EXIT  which            33696   33695   [0] (5ms)
23:06:33 EXIT  sh               33695   1823    [0] (14ms)
23:06:33 EXEC  sh               33697   1823    /bin/sh
23:06:33 EXEC  ps               33698   33697   /usr/bin/ps
23:06:33 EXIT  ps               33698   33697   [0] (69ms)
23:06:33 EXIT  sh               33697   1823    [0] (76ms)
23:06:33 EXEC  sh               33699   1823    /bin/sh
23:06:33 EXEC  cpuUsage.sh      33700   33699   /home/ryuu.linux/.vscode-server/cli/servers/Stable-7d842fb85a0275a4a8e4d7e040d2625abbf7f084/server/out/vs/base/node/cpuUsage.s
23:06:33 EXEC  sed              33701   33700   /usr/bin/sed
23:06:33 EXIT  sed              33701   33700   [0] (8ms)
23:06:33 EXEC  cat              33702   33700   /usr/bin/cat
23:06:33 EXIT  cat              33702   33700   [0] (4ms)
23:06:33 EXEC  cat              33703   33700   /usr/bin/cat
23:06:33 EXIT  cat              33703   33700   [0] (5ms)
23:06:33 EXEC  cat              33704   33700   /usr/bin/cat
23:06:33 EXIT  cat              33704   33700   [0] (5ms)
23:06:33 EXEC  cat              33705   33700   /usr/bin/cat
23:06:33 EXIT  cat              33705   33700   [0] (5ms)
23:06:33 EXEC  sleep            33706   33700   /usr/bin/sleep
23:06:34 EXIT  sleep            33706   33700   [0] (1007ms)
23:06:34 EXEC  sed              33707   33700   /usr/bin/sed
23:06:34 EXIT  sed              33707   33700   [0] (15ms)
23:06:34 EXEC  cat              33708   33700   /usr/bin/cat
23:06:34 EXIT  cat              33708   33700   [0] (6ms)
23:06:34 EXIT  cpuUsage.sh      33709   33700   [0]
